coords,dotted,main,meta,place,sub
"(['50.05850000'], ['19.95030000'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  winda ']","[' cena   1 500 000 zł   15 000 zł/m² ', ' powierzchnia   100 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 5)  ']", Nr oferty w Otodom: 47678404 Nr oferty w biurze nieruchomości: ABN-MS-21548 Liczba wyświetleń strony: 730 Data dodania: 24.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Grzegórzki,  Daszyńskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  czynsz:  700 zł ', '  forma własności:  pełna własność ']"
"(['50.01897850'], ['19.98809500'])","[' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   260 000 zł   5 663,25 zł/m² ', ' powierzchnia   45,91 m²   ', ' liczba pokoi   2   ', ' piętro   7  (z 9)  ']", Nr oferty w Otodom: 47494634 Nr oferty w biurze nieruchomości: 835/4879/OMS Liczba wyświetleń strony: 670 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Bieżanów-Prokocim, Polonijna']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ']"
"(['50.04513130'], ['19.95485440'])",[],"[' cena   215 000 zł   10 238,10 zł/m² ', ' powierzchnia   21 m²   ', ' liczba pokoi   1   ', ' piętro   parter  (z 2)  ']", Nr oferty w Otodom: 47629686 Nr oferty w biurze nieruchomości: 855/4879/OMS Liczba wyświetleń strony: 1822 Data dodania: 21.03.2017 Data aktualizacji: 23.03.2017 ,"['Kraków, Podgórze, Józefińska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ']"
"(['50.08469590'], ['19.93358280'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' meble ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   1 100 000 zł   11 340,21 zł/m² ', ' powierzchnia   97 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 7)  ']", Nr oferty w Otodom: 47285414 Nr oferty w biurze nieruchomości: 14196/2089/OMS Liczba wyświetleń strony: 1186 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Krowodrza, Kluczborska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  2007  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  460 zł ', '  forma własności:  pełna własność ']"
"(['50.01895390'], ['19.92137470'])","[' balkon ', '  piwnica ', '  oddzielna kuchnia ']","[' cena   179 000 zł   6 392,86 zł/m² ', ' powierzchnia   28 m²   ', ' liczba pokoi   1   ', ' piętro   1  (z 2)  ']", Nr oferty w Otodom: 46673408 Liczba wyświetleń strony: 3921 Data dodania: ponad 14 dni temu Data aktualizacji: 25.03.2017 ,"['Kraków, Łagiewniki-Borek Fałęcki,  Kępna']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  stan wykończenia:  do wykończenia ', '  czynsz:  200 zł ', '  forma własności:  pełna własność ', '  dostępne od:  3 Stycznia 2017 ']"
"(['50.00816580'], ['19.96123780'])","[' telewizja kablowa ', '  internet ', ' domofon / wideofon ', ' lodówka ', '  meble ', '  piekarnik ', '  kuchenka ', '  pralka ', ' balkon ', '  piwnica ', '  garaż/miejsce parkingowe ', '  winda ', '  oddzielna kuchnia ']","[' cena   299 000 zł   4 869,71 zł/m² ', ' powierzchnia   61,40 m²   ', ' liczba pokoi   3   ', ' piętro   7  (z 10)  ']", Nr oferty w Otodom: 46774948 Nr oferty w biurze nieruchomości: 7025/3685/OMS Liczba wyświetleń strony: 864 Data dodania: ponad 14 dni temu Data aktualizacji: 22.03.2017 ,"['Kraków, Kurdwanów,  Jakuba Bojki']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  wielka płyta ', '  okna:  aluminiowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1991  ', '  stan wykończenia:  do wykończenia ', '  czynsz:  370 zł ', '  forma własności:  spółdzielcze własnościowe ']"
"(['50.06695620'], ['19.97139720'])","[' balkon ', '  piwnica ', '  winda ', '  oddzielna kuchnia ']","[' cena   399 000 zł   6 234,38 zł/m² ', ' powierzchnia   64 m²   ', ' liczba pokoi   3   ', ' piętro   2  (z 5)  ']", Nr oferty w Otodom: 47582696 Nr oferty w biurze nieruchomości: 850/4879/OMS Liczba wyświetleń strony: 320 Data dodania: 17.03.2017 Data aktualizacji: 23.03.2017 ,"['Kraków, Śródmieście, Mogilska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1991  ', '  stan wykończenia:  do remontu ', '  forma własności:  pełna własność ']"
"(['50.02426510'], ['19.95948960'])","[' balkon ', '  winda ', '  taras ']","[' cena   460 000 zł   7 796,61 zł/m² ', ' powierzchnia   59 m²   ', ' liczba pokoi   3   ', ' piętro   8  (z 8)  ']", Nr oferty w Otodom: 45050740 Nr oferty w biurze nieruchomości: HAK-MS-14986 Liczba wyświetleń strony: 2816 Data dodania: ponad 14 dni temu Data aktualizacji: 26.03.2017 ,"['Kraków, Wola Duchacka']","['  rynek:  wtórny ', '  okna:  plastikowe ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  450 zł ', '  forma własności:  pełna własność ']"
"(['50.07703220'], ['19.92678130'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   396 000 zł   7 096,77 zł/m² ', ' powierzchnia   55,80 m²   ', ' liczba pokoi   3   ', ' piętro   2  (z 5)  ']", Nr oferty w Otodom: 47690924 Nr oferty w biurze nieruchomości: WSC-MS-406 Liczba wyświetleń strony: 41 Data dodania: 26.03.2017 Data aktualizacji: 26.03.2017 ,"['Kraków, Krowodrza']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2016  ', '  forma własności:  pełna własność ']"
"(['50.07598440'], ['19.92839400'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   361 900 zł   6 693,18 zł/m² ', ' powierzchnia   54,07 m²   ', ' liczba pokoi   3   ', ' piętro   2  (z 6)  ']", Nr oferty w Otodom: 47690922 Nr oferty w biurze nieruchomości: WSC-MS-405 Liczba wyświetleń strony: 41 Data dodania: 26.03.2017 Data aktualizacji: 26.03.2017 ,"['Kraków, Krowodrza']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2016  ', '  forma własności:  pełna własność ']"
"(['50.07703220'], ['19.92678130'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   366 000 zł   6 691,04 zł/m² ', ' powierzchnia   54,70 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 6)  ']", Nr oferty w Otodom: 47690918 Nr oferty w biurze nieruchomości: WSC-MS-404 Liczba wyświetleń strony: 44 Data dodania: 26.03.2017 Data aktualizacji: 26.03.2017 ,"['Kraków, Krowodrza']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2016  ', '  forma własności:  pełna własność ']"
