coords,dotted,main,meta,place,sub
"(['50.05850000'], ['19.95030000'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  winda ']","[' cena   1 500 000 zł   15 000 zł/m² ', ' powierzchnia   100 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 5)  ']", Nr oferty w Otodom: 47678404 Nr oferty w biurze nieruchomości: ABN-MS-21548 Liczba wyświetleń strony: 732 Data dodania: 24.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Grzegórzki,  Daszyńskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  czynsz:  700 zł ', '  forma własności:  pełna własność ']"
"(['50.01897850'], ['19.98809500'])","[' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   260 000 zł   5 663,25 zł/m² ', ' powierzchnia   45,91 m²   ', ' liczba pokoi   2   ', ' piętro   7  (z 9)  ']", Nr oferty w Otodom: 47494634 Nr oferty w biurze nieruchomości: 835/4879/OMS Liczba wyświetleń strony: 673 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Bieżanów-Prokocim, Polonijna']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ']"
"(['50.04513130'], ['19.95485440'])",[],"[' cena   215 000 zł   10 238,10 zł/m² ', ' powierzchnia   21 m²   ', ' liczba pokoi   1   ', ' piętro   parter  (z 2)  ']", Nr oferty w Otodom: 47629686 Nr oferty w biurze nieruchomości: 855/4879/OMS Liczba wyświetleń strony: 1824 Data dodania: 21.03.2017 Data aktualizacji: 23.03.2017 ,"['Kraków, Podgórze, Józefińska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ']"
"(['50.08469590'], ['19.93358280'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' meble ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   1 100 000 zł   11 340,21 zł/m² ', ' powierzchnia   97 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 7)  ']", Nr oferty w Otodom: 47285414 Nr oferty w biurze nieruchomości: 14196/2089/OMS Liczba wyświetleń strony: 1188 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Krowodrza, Kluczborska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  2007  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  460 zł ', '  forma własności:  pełna własność ']"
"(['50.08754430'], ['20.02142000'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  piwnica ', '  winda ']","[' cena   242 000 zł   5 553,01 zł/m² ', ' powierzchnia   43,58 m²   ', ' liczba pokoi   2   ', ' piętro   5  (z 10)  ']", Nr oferty w Otodom: 47406826 Nr oferty w biurze nieruchomości: KWN-MS-125 Liczba wyświetleń strony: 919 Data dodania: ponad 14 dni temu Data aktualizacji: 23.03.2017 ,"['Kraków, Bieńczyce,  Kazimierzowskie']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  1974  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  350 zł ', '  forma własności:  pełna własność ']"
"(['50.09131950'], ['19.98891360'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  piwnica ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   241 780 zł   5 500 zł/m² ', ' powierzchnia   43,96 m²   ', ' liczba pokoi   2   ', ' piętro   parter  (z 5)  ']", Nr oferty w Otodom: 47559070 Nr oferty w biurze nieruchomości: ATM-MS-436 Liczba wyświetleń strony: 324 Data dodania: ponad 14 dni temu Data aktualizacji: 20.03.2017 ,"['Kraków, Prądnik Czerwony']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  forma własności:  pełna własność ']"
"(['50.06370270'], ['19.92456050'])",[],"[' cena   856 650 zł   6 000,63 zł/m² ', ' powierzchnia   142,76 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 5)  ']", Nr oferty w Otodom: 47360894 Nr oferty w biurze nieruchomości: 361/5574/OMS Liczba wyświetleń strony: 521 Data dodania: ponad 14 dni temu Data aktualizacji: 29.03.2017 ,"['Kraków, Stare Miasto,  Adama Mickiewicza']","['  rynek:  wtórny ', '  rok budowy:  1908  ', '  forma własności:  pełna własność ']"
"(['50.08118010'], ['19.88869960'])","[' meble ', ' balkon ', '  piwnica ', '  oddzielna kuchnia ']","[' cena   340 000 zł   6 938,78 zł/m² ', ' powierzchnia   49 m²   ', ' liczba pokoi   2   ', ' piętro   1  (z 4)  ']", Nr oferty w Otodom: 47681768 Nr oferty w biurze nieruchomości: 1806/3292/OMS Liczba wyświetleń strony: 53 Data dodania: 24.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Bronowice Małe, Armii Krajowej']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1980  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  300 zł ', '  forma własności:  pełna własność ']"
"(['50.06764820'], ['19.84709330'])","[' balkon ', '  garaż/miejsce parkingowe ']","[' cena   330 000 zł   7 333,33 zł/m² ', ' powierzchnia   45 m²   ', ' liczba pokoi   2   ', ' piętro   1  (z 2)  ']", Nr oferty w Otodom: 47681580 Nr oferty w biurze nieruchomości: TNI-MS-19671 Liczba wyświetleń strony: 106 Data dodania: 24.03.2017 Data aktualizacji: 24.03.2017 ,"['Kraków, Wola Justowska, Niezapominajek']",['  rynek:  wtórny ']
"(['50.08538260'], ['19.97016280'])","[' balkon ', '  piwnica ', '  oddzielna kuchnia ']","[' cena   290 000 zł   7 250 zł/m² ', ' powierzchnia   40 m²   ', ' liczba pokoi   2   ', ' piętro   4  (z 4)  ']", Nr oferty w Otodom: 47681540 Nr oferty w biurze nieruchomości: 1805/3292/OMS Liczba wyświetleń strony: 58 Data dodania: 24.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Olsza, Lublańska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1968  ', '  stan wykończenia:  do zamieszkania ']"
