coords,dotted,main,meta,place,sub
"(['50.05850000'], ['19.95030000'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  winda ']","[' cena   1 500 000 zł   15 000 zł/m² ', ' powierzchnia   100 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 5)  ']", Nr oferty w Otodom: 47678404 Nr oferty w biurze nieruchomości: ABN-MS-21548 Liczba wyświetleń strony: 726 Data dodania: 24.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Grzegórzki,  Daszyńskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  czynsz:  700 zł ', '  forma własności:  pełna własność ']"
"(['50.01897850'], ['19.98809500'])","[' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   260 000 zł   5 663,25 zł/m² ', ' powierzchnia   45,91 m²   ', ' liczba pokoi   2   ', ' piętro   7  (z 9)  ']", Nr oferty w Otodom: 47494634 Nr oferty w biurze nieruchomości: 835/4879/OMS Liczba wyświetleń strony: 665 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Bieżanów-Prokocim, Polonijna']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ']"
"(['50.04513130'], ['19.95485440'])",[],"[' cena   215 000 zł   10 238,10 zł/m² ', ' powierzchnia   21 m²   ', ' liczba pokoi   1   ', ' piętro   parter  (z 2)  ']", Nr oferty w Otodom: 47629686 Nr oferty w biurze nieruchomości: 855/4879/OMS Liczba wyświetleń strony: 1818 Data dodania: 21.03.2017 Data aktualizacji: 23.03.2017 ,"['Kraków, Podgórze, Józefińska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ']"
"(['50.08469590'], ['19.93358280'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' meble ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   1 100 000 zł   11 340,21 zł/m² ', ' powierzchnia   97 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 7)  ']", Nr oferty w Otodom: 47285414 Nr oferty w biurze nieruchomości: 14196/2089/OMS Liczba wyświetleń strony: 1182 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Krowodrza, Kluczborska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  2007  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  460 zł ', '  forma własności:  pełna własność ']"
"(['50.09101350'], ['19.97538270'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' domofon / wideofon ', ' balkon ', '  piwnica ', '  winda ', '  oddzielna kuchnia ']","[' cena   235 000 zł   5 108,70 zł/m² ', ' powierzchnia   46 m²   ', ' liczba pokoi   2   ', ' piętro   &gt; 10  (z 15)  ']", Nr oferty w Otodom: 45166658 Liczba wyświetleń strony: 3655 Data dodania: ponad 14 dni temu Data aktualizacji: 22.03.2017 ,"['Kraków, Prądnik Czerwony,  Strzelców']","['  rynek:  wtórny ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  stan wykończenia:  do remontu ']"
"(['50.07327550'], ['19.93457340'])","[' piwnica ', '  oddzielna kuchnia ']","[' cena   459 000 zł   7 650 zł/m² ', ' powierzchnia   60 m²   ', ' liczba pokoi   3   ', ' piętro   3  (z 3)  ']", Nr oferty w Otodom: 44176204 Nr oferty w biurze nieruchomości: 270/3949/OMS Liczba wyświetleń strony: 396 Data dodania: ponad 14 dni temu Data aktualizacji: 29.03.2017 ,"['Kraków, Krowodrza, Śląska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  1933  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  457 zł ', '  forma własności:  pełna własność ', '  dostępne od:  11 Stycznia 2017 ']"
"(['50.03965250'], ['19.97755250'])","[' telewizja kablowa ', '  internet ', ' balkon ']","[' cena   390 000 zł   7 647,06 zł/m² ', ' powierzchnia   51 m²   ', ' liczba pokoi   2   ', ' piętro   2  (z 3)  ']", Nr oferty w Otodom: 47360724 Nr oferty w biurze nieruchomości: BLW-MS-407 Liczba wyświetleń strony: 204 Data dodania: ponad 14 dni temu Data aktualizacji: 16.03.2017 ,"['Kraków, Płaszów, Wodna']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2010  ', '  czynsz:  300 zł ', '  forma własności:  pełna własność ']"
"(['50.01792560'], ['19.90511760'])","[' telewizja kablowa ', '  internet ', ' balkon ', '  piwnica ']","[' cena   389 000 zł   6 335,50 zł/m² ', ' powierzchnia   61,40 m²   ', ' liczba pokoi   3   ', ' piętro   2  (z 3)  ']", Nr oferty w Otodom: 47704246 Nr oferty w biurze nieruchomości: DNX-MS-20416 Liczba wyświetleń strony: 53 Data dodania: 27.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Ruczaj, OBOZOWA RUCZAJ WOLNE DO WEJŚCIA !!!!']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  rok budowy:  2009  ', '  czynsz:  315 zł ', '  forma własności:  pełna własność ']"
"(['50.01338620'], ['19.89460040'])","[' internet ', ' monitoring / ochrona ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   460 000 zł   7 153,97 zł/m² ', ' powierzchnia   64,30 m²   ', ' liczba pokoi   3   ', ' piętro   1  (z 5)  ']", Nr oferty w Otodom: 47704240 Nr oferty w biurze nieruchomości: DNX-MS-20415 Liczba wyświetleń strony: 40 Data dodania: 27.03.2017 Data aktualizacji: 27.03.2017 ,"['Kraków, Piltza']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  rok budowy:  2008  ', '  czynsz:  630 zł ', '  forma własności:  pełna własność ']"
"(['50.10205130'], ['20.01247340'])","[' telewizja kablowa ', '  internet ', ' drzwi / okna antywłamaniowe ', '  domofon / wideofon ', '  monitoring / ochrona ', ' lodówka ', '  piekarnik ', '  kuchenka ', '  pralka ', ' balkon ', '  piwnica ', '  winda ']","[' cena   350 000 zł   5 072,46 zł/m² ', ' powierzchnia   69 m²   ', ' liczba pokoi   3   ', ' piętro   3  (z 6)  ']", Nr oferty w Otodom: 47532134 Liczba wyświetleń strony: 1023 Data dodania: ponad 14 dni temu Data aktualizacji: 27.03.2017 ,"['Kraków, Mistrzejowice,  Bohaterów Września']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1997  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  600 zł ', '  forma własności:  pełna własność ', '  dostępne od:  1 Maja 2017 ']"
