coords,dotted,main,meta,place,sub
"(['50.05850000'], ['19.95030000'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  winda ']","[' cena   1 500 000 zł   15 000 zł/m² ', ' powierzchnia   100 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 5)  ']", Nr oferty w Otodom: 47678404 Nr oferty w biurze nieruchomości: ABN-MS-21548 Liczba wyświetleń strony: 714 Data dodania: 24.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Grzegórzki,  Daszyńskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  czynsz:  700 zł ', '  forma własności:  pełna własność ']"
"(['50.01897850'], ['19.98809500'])","[' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   260 000 zł   5 663,25 zł/m² ', ' powierzchnia   45,91 m²   ', ' liczba pokoi   2   ', ' piętro   7  (z 9)  ']", Nr oferty w Otodom: 47494634 Nr oferty w biurze nieruchomości: 835/4879/OMS Liczba wyświetleń strony: 652 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Bieżanów-Prokocim, Polonijna']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ']"
"(['50.04513130'], ['19.95485440'])",[],"[' cena   215 000 zł   10 238,10 zł/m² ', ' powierzchnia   21 m²   ', ' liczba pokoi   1   ', ' piętro   parter  (z 2)  ']", Nr oferty w Otodom: 47629686 Nr oferty w biurze nieruchomości: 855/4879/OMS Liczba wyświetleń strony: 1805 Data dodania: 21.03.2017 Data aktualizacji: 23.03.2017 ,"['Kraków, Podgórze, Józefińska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ']"
"(['50.08469590'], ['19.93358280'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' meble ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   1 100 000 zł   11 340,21 zł/m² ', ' powierzchnia   97 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 7)  ']", Nr oferty w Otodom: 47285414 Nr oferty w biurze nieruchomości: 14196/2089/OMS Liczba wyświetleń strony: 1170 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Krowodrza, Kluczborska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  2007  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  460 zł ', '  forma własności:  pełna własność ']"
"(['50.09312210'], ['19.95731430'])","[' telewizja kablowa ', '  internet ', ' monitoring / ochrona ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   490 000 zł   9 074,07 zł/m² ', ' powierzchnia   54 m²   ', ' liczba pokoi   2   ', ' piętro   1   ']", Nr oferty w Otodom: 46695046 Nr oferty w biurze nieruchomości: TNI-MS-19397 Liczba wyświetleń strony: 1780 Data dodania: ponad 14 dni temu Data aktualizacji: 25.03.2017 ,"['Kraków, Krowodrza, Bociana']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2015  ', '  czynsz:  520 zł ']"
"(['50.08649380'], ['20.00941030'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' system alarmowy ', '  drzwi / okna antywłamaniowe ', '  domofon / wideofon ', ' zmywarka ', '  lodówka ', '  meble ', '  piekarnik ', '  kuchenka ', '  pralka ', ' balkon ', '  piwnica ', '  ogródek ', '  winda ']","[' cena   420 000 zł   5 722,07 zł/m² ', ' powierzchnia   73,40 m²   ', ' liczba pokoi   4   ', ' piętro   parter  (z 10)  ']", Nr oferty w Otodom: 47142636 Liczba wyświetleń strony: 2666 Data dodania: ponad 14 dni temu Data aktualizacji: 24.03.2017 ,"['Kraków, Czyżyny,  Dywizjonu 303']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1980  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  520 zł ', '  forma własności:  spółdzielcze własnościowe ']"
"(['50.01897850'], ['19.98809500'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' teren zamknięty ', '  domofon / wideofon ', '  monitoring / ochrona ', ' balkon ', '  winda ', '  oddzielna kuchnia ']","[' cena   260 000 zł   5 663,25 zł/m² ', ' powierzchnia   45,91 m²   ', ' liczba pokoi   2   ', ' piętro   7  (z 9)  ']", Nr oferty w Otodom: 44719832 Liczba wyświetleń strony: 5921 Data dodania: ponad 14 dni temu Data aktualizacji: 23.03.2017 ,"['Kraków, Podgórze,  Polonijna']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ', '  forma własności:  pełna własność ']"
"(['50.09341880'], ['20.02232550'])","[' garaż/miejsce parkingowe ', '  winda ', '  taras ']","[' cena   440 000 zł   6 461,09 zł/m² ', ' powierzchnia   68,10 m²   ', ' liczba pokoi   4   ', ' piętro   parter  (z 7)  ']", Nr oferty w Otodom: 47725492 Nr oferty w biurze nieruchomości: MS-19805 Liczba wyświetleń strony: 15 Data dodania: 29.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Mistrzejowice Nowe, Okulickiego']","['  rynek:  wtórny ', '  ogrzewanie:  miejskie ', '  rok budowy:  2007  ', '  czynsz:  400 zł ']"
"(['50.07654880'], ['20.02150430'])","[' balkon ', '  piwnica ', '  winda ']","[' cena   275 000 zł   5 000 zł/m² ', ' powierzchnia   55 m²   ', ' liczba pokoi   2   ', ' liczba pięter   10    ']", Nr oferty w Otodom: 47725490 Nr oferty w biurze nieruchomości: MS-19803 Liczba wyświetleń strony: 11 Data dodania: 29.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Kolorowe,  Kolorowe']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  czynsz:  520 zł ']"
"(['50.08330450'], ['19.96040130'])",[' winda '],"[' cena   195 000 zł   6 500 zł/m² ', ' powierzchnia   30 m²   ', ' liczba pokoi   1   ', ' piętro   8  (z 9)  ']", Nr oferty w Otodom: 47725486 Nr oferty w biurze nieruchomości: MS-19746 Liczba wyświetleń strony: 21 Data dodania: 29.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Olsza, Bosaków']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1975  ', '  czynsz:  250 zł ']"
