coords,dotted,main,meta,place,sub
"(['50.05850000'], ['19.95030000'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  winda ']","[' cena   1 500 000 zł   15 000 zł/m² ', ' powierzchnia   100 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 5)  ']", Nr oferty w Otodom: 47678404 Nr oferty w biurze nieruchomości: ABN-MS-21548 Liczba wyświetleń strony: 722 Data dodania: 24.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Grzegórzki,  Daszyńskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  czynsz:  700 zł ', '  forma własności:  pełna własność ']"
"(['50.01897850'], ['19.98809500'])","[' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   260 000 zł   5 663,25 zł/m² ', ' powierzchnia   45,91 m²   ', ' liczba pokoi   2   ', ' piętro   7  (z 9)  ']", Nr oferty w Otodom: 47494634 Nr oferty w biurze nieruchomości: 835/4879/OMS Liczba wyświetleń strony: 658 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Bieżanów-Prokocim, Polonijna']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ']"
"(['50.04513130'], ['19.95485440'])",[],"[' cena   215 000 zł   10 238,10 zł/m² ', ' powierzchnia   21 m²   ', ' liczba pokoi   1   ', ' piętro   parter  (z 2)  ']", Nr oferty w Otodom: 47629686 Nr oferty w biurze nieruchomości: 855/4879/OMS Liczba wyświetleń strony: 1814 Data dodania: 21.03.2017 Data aktualizacji: 23.03.2017 ,"['Kraków, Podgórze, Józefińska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ']"
"(['50.08469590'], ['19.93358280'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' meble ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   1 100 000 zł   11 340,21 zł/m² ', ' powierzchnia   97 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 7)  ']", Nr oferty w Otodom: 47285414 Nr oferty w biurze nieruchomości: 14196/2089/OMS Liczba wyświetleń strony: 1178 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Krowodrza, Kluczborska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  2007  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  460 zł ', '  forma własności:  pełna własność ']"
"(['50.09101350'], ['19.97538270'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' drzwi / okna antywłamaniowe ', '  domofon / wideofon ', '  rolety antywłamaniowe ', ' balkon ', '  piwnica ', '  oddzielna kuchnia ']","[' cena   347 900 zł   5 998,28 zł/m² ', ' powierzchnia   58 m²   ', ' liczba pokoi   2   ', ' piętro   4  (z 4)  ']", Nr oferty w Otodom: 47444468 Liczba wyświetleń strony: 1195 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Prądnik Czerwony, Strzelców']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  92  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ', '  dostępne od:  8 Maja 2017 ']"
"(['50.02078140'], ['20.05005160'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' garaż/miejsce parkingowe ', '  winda ', '  taras ']","[' cena   266 340 zł   4 600 zł/m² ', ' powierzchnia   57,90 m²   ', ' liczba pokoi   4   ', ' piętro   parter  (z 5)  ']", Nr oferty w Otodom: 47472612 Nr oferty w biurze nieruchomości: ABN-MS-21471 Liczba wyświetleń strony: 421 Data dodania: ponad 14 dni temu Data aktualizacji: 29.03.2017 ,"['Kraków, Złocień, Agatowa']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  rok budowy:  2017  ', '  forma własności:  pełna własność ']"
"(['50.09943520'], ['19.96465400'])","[' telewizja kablowa ', '  internet ', ' drzwi / okna antywłamaniowe ', '  domofon / wideofon ', '  monitoring / ochrona ', ' zmywarka ', '  lodówka ', '  meble ', '  piekarnik ', '  kuchenka ', '  pralka ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  oddzielna kuchnia ', '  pom. użytkowe ']","[' cena   358 000 zł   7 160 zł/m² ', ' powierzchnia   50 m²   ', ' liczba pokoi   2   ', ' piętro   2  (z 4)  ']", Nr oferty w Otodom: 47271350 Liczba wyświetleń strony: 1152 Data dodania: ponad 14 dni temu Data aktualizacji: 23.03.2017 ,"['Kraków, Prądnik Czerwony,  abp. Zygmunta Szczęsnego Felińskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  gazowe ', '  rok budowy:  2011  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  190 zł ', '  forma własności:  pełna własność ', '  dostępne od:  1 Lutego 2017 ']"
"(['50.03015840'], ['19.92817110'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' garaż/miejsce parkingowe ', '  winda ', '  taras ']","[' cena   479 000 zł   7 624,96 zł/m² ', ' powierzchnia   62,82 m²   ', ' liczba pokoi   3   ', ' piętro   parter  (z 6)  ']", Nr oferty w Otodom: 47716000 Nr oferty w biurze nieruchomości: BS2-MS-185308 Liczba wyświetleń strony: 11 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Podgórze, Brożka - okolice']","['  rynek:  pierwotny ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  forma własności:  pełna własność ']"
"(['50.02866720'], ['19.95169610'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   355 000 zł   6 378,01 zł/m² ', ' powierzchnia   55,66 m²   ', ' liczba pokoi   2   ', ' piętro   parter  (z 6)  ']", Nr oferty w Otodom: 47715988 Nr oferty w biurze nieruchomości: BS2-MS-186640 Liczba wyświetleń strony: 11 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Wola Duchacka, Kamieńskiego - okolice']","['  rynek:  pierwotny ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  forma własności:  pełna własność ']"
"(['50.02866720'], ['19.95169610'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   384 000 zł   6 896,55 zł/m² ', ' powierzchnia   55,68 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 6)  ']", Nr oferty w Otodom: 47715998 Nr oferty w biurze nieruchomości: BS2-MS-186678 Liczba wyświetleń strony: 11 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Wola Duchacka, Kamieńskiego - okolice']","['  rynek:  pierwotny ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  forma własności:  pełna własność ']"
