coords,dotted,main,meta,place,sub
"(['50.05850000'], ['19.95030000'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  winda ']","[' cena   1 500 000 zł   15 000 zł/m² ', ' powierzchnia   100 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 5)  ']", Nr oferty w Otodom: 47678404 Nr oferty w biurze nieruchomości: ABN-MS-21548 Liczba wyświetleń strony: 733 Data dodania: 24.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Grzegórzki,  Daszyńskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  czynsz:  700 zł ', '  forma własności:  pełna własność ']"
"(['50.01897850'], ['19.98809500'])","[' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   260 000 zł   5 663,25 zł/m² ', ' powierzchnia   45,91 m²   ', ' liczba pokoi   2   ', ' piętro   7  (z 9)  ']", Nr oferty w Otodom: 47494634 Nr oferty w biurze nieruchomości: 835/4879/OMS Liczba wyświetleń strony: 674 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Bieżanów-Prokocim, Polonijna']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ']"
"(['50.04513130'], ['19.95485440'])",[],"[' cena   215 000 zł   10 238,10 zł/m² ', ' powierzchnia   21 m²   ', ' liczba pokoi   1   ', ' piętro   parter  (z 2)  ']", Nr oferty w Otodom: 47629686 Nr oferty w biurze nieruchomości: 855/4879/OMS Liczba wyświetleń strony: 1825 Data dodania: 21.03.2017 Data aktualizacji: 23.03.2017 ,"['Kraków, Podgórze, Józefińska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ']"
"(['50.08469590'], ['19.93358280'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' meble ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   1 100 000 zł   11 340,21 zł/m² ', ' powierzchnia   97 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 7)  ']", Nr oferty w Otodom: 47285414 Nr oferty w biurze nieruchomości: 14196/2089/OMS Liczba wyświetleń strony: 1190 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Krowodrza, Kluczborska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  2007  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  460 zł ', '  forma własności:  pełna własność ']"
"(['50.07715260'], ['19.98046570'])","[' piwnica ', '  winda ']","[' cena   180 000 zł   8 399,44 zł/m² ', ' powierzchnia   21,43 m²   ', ' liczba pokoi   1   ', ' piętro   6  (z 8)  ']", Nr oferty w Otodom: 47597084 Nr oferty w biurze nieruchomości: 852/4879/OMS Liczba wyświetleń strony: 847 Data dodania: 18.03.2017 Data aktualizacji: 23.03.2017 ,"['Kraków, Janusza Meissnera']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  rok budowy:  1984  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  240 zł ', '  forma własności:  pełna własność ']"
"(['50.06957000'], ['20.04646820'])","[' internet ', '  telefon ', ' drzwi / okna antywłamaniowe ', '  domofon / wideofon ', ' lodówka ', '  meble ', '  piekarnik ', '  kuchenka ', '  pralka ', ' piwnica ', '  oddzielna kuchnia ']","[' cena   280 000 zł   5 000 zł/m² ', ' powierzchnia   56 m²   ', ' liczba pokoi   3   ', ' piętro   parter  (z 2)  ']", Nr oferty w Otodom: 47402852 Liczba wyświetleń strony: 428 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Nowa Huta, Os. Wandy']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1950  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  450 zł ', '  forma własności:  pełna własność ']"
"(['50.07609730'], ['19.92840430'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   671 000 zł   8 246,28 zł/m² ', ' powierzchnia   81,37 m²   ', ' liczba pokoi   4   ', ' piętro   2  (z 5)  ']", Nr oferty w Otodom: 46209984 Nr oferty w biurze nieruchomości: ATM-MS-350 Liczba wyświetleń strony: 411 Data dodania: ponad 14 dni temu Data aktualizacji: 22.03.2017 ,"['Kraków, Krowodrza']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  forma własności:  pełna własność ']"
"(['50.07209610'], ['19.98520190'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   421 099 zł   6 549,99 zł/m² ', ' powierzchnia   64,29 m²   ', ' liczba pokoi   3   ', ' piętro   5  (z 14)  ']", Nr oferty w Otodom: 47680322 Nr oferty w biurze nieruchomości: GNK-MS-30163 Liczba wyświetleń strony: 36 Data dodania: 24.03.2017 Data aktualizacji: 24.03.2017 ,"['Kraków, Olsza, Meissnera ok.']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2016  ']"
"(['50.05428020'], ['19.95540120'])","[' internet ', '  telefon ', ' monitoring / ochrona ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   821 520 zł   11 253,70 zł/m² ', ' powierzchnia   73 m²   ', ' liczba pokoi   3   ', ' piętro   3  (z 4)  ']", Nr oferty w Otodom: 47680316 Nr oferty w biurze nieruchomości: GNK-MS-30174 Liczba wyświetleń strony: 37 Data dodania: 24.03.2017 Data aktualizacji: 24.03.2017 ,"['Kraków, Centrum, Grzegórzecka okolice']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  2015  ']"
"(['50.07232350'], ['19.96832830'])","[' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  taras ']","[' cena   988 079 zł   10 300 zł/m² ', ' powierzchnia   95,93 m²   ', ' liczba pokoi   4   ', ' piętro   3  (z 3)  ']", Nr oferty w Otodom: 47680310 Nr oferty w biurze nieruchomości: GNK-MS-30178 Liczba wyświetleń strony: 43 Data dodania: 24.03.2017 Data aktualizacji: 24.03.2017 ,"['Kraków, Olsza, Pilotów okolice']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  plastikowe ']"
