coords,dotted,main,meta,place,sub
"(['50.05850000'], ['19.95030000'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  winda ']","[' cena   1 500 000 zł   15 000 zł/m² ', ' powierzchnia   100 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 5)  ']", Nr oferty w Otodom: 47678404 Nr oferty w biurze nieruchomości: ABN-MS-21548 Liczba wyświetleń strony: 725 Data dodania: 24.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Grzegórzki,  Daszyńskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  czynsz:  700 zł ', '  forma własności:  pełna własność ']"
"(['50.01897850'], ['19.98809500'])","[' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   260 000 zł   5 663,25 zł/m² ', ' powierzchnia   45,91 m²   ', ' liczba pokoi   2   ', ' piętro   7  (z 9)  ']", Nr oferty w Otodom: 47494634 Nr oferty w biurze nieruchomości: 835/4879/OMS Liczba wyświetleń strony: 664 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Bieżanów-Prokocim, Polonijna']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ']"
"(['50.04513130'], ['19.95485440'])",[],"[' cena   215 000 zł   10 238,10 zł/m² ', ' powierzchnia   21 m²   ', ' liczba pokoi   1   ', ' piętro   parter  (z 2)  ']", Nr oferty w Otodom: 47629686 Nr oferty w biurze nieruchomości: 855/4879/OMS Liczba wyświetleń strony: 1817 Data dodania: 21.03.2017 Data aktualizacji: 23.03.2017 ,"['Kraków, Podgórze, Józefińska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ']"
"(['50.08469590'], ['19.93358280'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' meble ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   1 100 000 zł   11 340,21 zł/m² ', ' powierzchnia   97 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 7)  ']", Nr oferty w Otodom: 47285414 Nr oferty w biurze nieruchomości: 14196/2089/OMS Liczba wyświetleń strony: 1181 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Krowodrza, Kluczborska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  2007  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  460 zł ', '  forma własności:  pełna własność ']"
"(['50.01106510'], ['19.97500280'])","[' internet ', ' drzwi / okna antywłamaniowe ', '  domofon / wideofon ', '  rolety antywłamaniowe ', ' meble ', ' balkon ', '  piwnica ']","[' cena   240 000 zł   4 800 zł/m² ', ' powierzchnia   50 m²   ', ' liczba pokoi   2   ', ' piętro   parter  (z 4)  ']", Nr oferty w Otodom: 47531604 Nr oferty w biurze nieruchomości: 829617 Liczba wyświetleń strony: 521 Data dodania: ponad 14 dni temu Data aktualizacji: 29.03.2017 ,"['Kraków, Kurdwanów']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  beton ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1985  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  450 zł ']"
"(['50.02610820'], ['19.94932230'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' system alarmowy ', '  teren zamknięty ', '  domofon / wideofon ', '  rolety antywłamaniowe ', ' balkon ', '  garaż/miejsce parkingowe ']","[' cena   304 000 zł   6 280,99 zł/m² ', ' powierzchnia   48,40 m²   ', ' liczba pokoi   2   ', ' piętro   3  (z 3)  ']", Nr oferty w Otodom: 47539094 Liczba wyświetleń strony: 636 Data dodania: ponad 14 dni temu Data aktualizacji: 29.03.2017 ,"['Kraków, Podgórze,  Fredry']","['  rynek:  wtórny ', '  rodzaj zabudowy:  dom wolnostojący ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  gazowe ', '  rok budowy:  2009  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  237 zł ', '  forma własności:  pełna własność ', '  dostępne od:  22 Kwietnia 2017 ']"
"(['50.08370150'], ['19.93444570'])","[' drzwi / okna antywłamaniowe ', '  domofon / wideofon ']","[' cena   389 000 zł   7 203,70 zł/m² ', ' powierzchnia   54 m²   ', ' liczba pokoi   2   ', ' piętro   8  (z 16)  ']", Nr oferty w Otodom: 46867238 Nr oferty w biurze nieruchomości: 42519 Liczba wyświetleń strony: 216 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Krowodrza, Bratysławska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  300 zł ', '  forma własności:  pełna własność ']"
"(['50.06736610'], ['19.93750140'])","[' internet ', '  telefon ', ' monitoring / ochrona ', ' klimatyzacja ', '  piwnica ', '  winda ']","[' cena   852 600 zł   8 700 zł/m² ', ' powierzchnia   98 m²   ', ' liczba pokoi   4   ', ' piętro   5  (z 5)  ']", Nr oferty w Otodom: 47078612 Nr oferty w biurze nieruchomości: TEC-MS-1367 Liczba wyświetleń strony: 632 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Stare Miasto']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  rok budowy:  1920  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  650 zł ']"
"(['50.01781800'], ['19.89463320'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   460 000 zł   6 985,57 zł/m² ', ' powierzchnia   65,85 m²   ', ' liczba pokoi   3   ', ' piętro   5  (z 5)  ']", Nr oferty w Otodom: 47317006 Nr oferty w biurze nieruchomości: TEC-MS-1371 Liczba wyświetleń strony: 476 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Ruczaj, Bobrzyńskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  drewniane ', '  rok budowy:  2006  ', '  czynsz:  740 zł ', '  forma własności:  pełna własność ']"
"(['50.11012980'], ['19.96592990'])","[' internet ', '  telefon ', ' monitoring / ochrona ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   290 400 zł   6 600 zł/m² ', ' powierzchnia   44 m²   ', ' liczba pokoi   2   ', ' piętro   3  (z 5)  ']", Nr oferty w Otodom: 47391684 Nr oferty w biurze nieruchomości: TEC-MS-1372 Liczba wyświetleń strony: 217 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Górka Narodowa, Belwederczyków']","['  rynek:  wtórny ', '  okna:  plastikowe ', '  rok budowy:  2010  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  250 zł ', '  forma własności:  pełna własność ']"
