coords,dotted,main,meta,place,sub
"(['50.05850000'], ['19.95030000'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  winda ']","[' cena   1 500 000 zł   15 000 zł/m² ', ' powierzchnia   100 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 5)  ']", Nr oferty w Otodom: 47678404 Nr oferty w biurze nieruchomości: ABN-MS-21548 Liczba wyświetleń strony: 746 Data dodania: 24.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Grzegórzki,  Daszyńskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  czynsz:  700 zł ', '  forma własności:  pełna własność ']"
"(['50.01897850'], ['19.98809500'])","[' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   260 000 zł   5 663,25 zł/m² ', ' powierzchnia   45,91 m²   ', ' liczba pokoi   2   ', ' piętro   7  (z 9)  ']", Nr oferty w Otodom: 47494634 Nr oferty w biurze nieruchomości: 835/4879/OMS Liczba wyświetleń strony: 686 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Bieżanów-Prokocim, Polonijna']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ']"
"(['50.04513130'], ['19.95485440'])",[],"[' cena   215 000 zł   10 238,10 zł/m² ', ' powierzchnia   21 m²   ', ' liczba pokoi   1   ', ' piętro   parter  (z 2)  ']", Nr oferty w Otodom: 47629686 Nr oferty w biurze nieruchomości: 855/4879/OMS Liczba wyświetleń strony: 1839 Data dodania: 21.03.2017 Data aktualizacji: 23.03.2017 ,"['Kraków, Podgórze, Józefińska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ']"
"(['50.08469590'], ['19.93358280'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' meble ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   1 100 000 zł   11 340,21 zł/m² ', ' powierzchnia   97 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 7)  ']", Nr oferty w Otodom: 47285414 Nr oferty w biurze nieruchomości: 14196/2089/OMS Liczba wyświetleń strony: 1202 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Krowodrza, Kluczborska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  2007  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  460 zł ', '  forma własności:  pełna własność ']"
"(['50.10819570'], ['19.92393350'])","[' internet ', ' balkon ', '  garaż/miejsce parkingowe ']","[' cena   420 000 zł   3 925,23 zł/m² ', ' powierzchnia   107 m²   ', ' liczba pokoi   5   ', ' piętro   1  (z 2)  ']", Nr oferty w Otodom: 47582178 Nr oferty w biurze nieruchomości: 366/4317/OMS Liczba wyświetleń strony: 121 Data dodania: 17.03.2017 Data aktualizacji: 20.03.2017 ,"['Zielonki, małopolskie, Na Popielówkę']","['  rynek:  wtórny ', '  rodzaj zabudowy:  dom wolnostojący ', '  okna:  plastikowe ', '  rok budowy:  2015  ', '  stan wykończenia:  do wykończenia ', '  forma własności:  pełna własność ']"
"(['50.06370270'], ['19.92456050'])",[],"[' cena   856 650 zł   6 000,63 zł/m² ', ' powierzchnia   142,76 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 5)  ']", Nr oferty w Otodom: 47360894 Nr oferty w biurze nieruchomości: 361/5574/OMS Liczba wyświetleń strony: 522 Data dodania: ponad 14 dni temu Data aktualizacji: 29.03.2017 ,"['Kraków, Stare Miasto,  Adama Mickiewicza']","['  rynek:  wtórny ', '  rok budowy:  1908  ', '  forma własności:  pełna własność ']"
"(['50.05920350'], ['19.94733960'])","[' drzwi / okna antywłamaniowe ', '  domofon / wideofon ']","[' cena   475 000 zł   7 421,88 zł/m² ', ' powierzchnia   64 m²   ', ' liczba pokoi   2   ', ' piętro   3  (z 3)  ']", Nr oferty w Otodom: 45393142 Nr oferty w biurze nieruchomości: 36888 Liczba wyświetleń strony: 469 Data dodania: ponad 14 dni temu Data aktualizacji: 27.03.2017 ,"['Kraków, Centrum, Kołłątaja']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  inne ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  300 zł ', '  forma własności:  pełna własność ']"
"(['50.12785620'], ['19.87039750'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ']","[' cena   425 000 zł   4 381,44 zł/m² ', ' powierzchnia   97 m²   ', ' liczba pokoi   3   ', ' piętro   1  (z 2)  ']", Nr oferty w Otodom: 47648928 Nr oferty w biurze nieruchomości: BS2-MS-188716 Liczba wyświetleń strony: 33 Data dodania: 22.03.2017 Data aktualizacji: 24.03.2017 ,"['Modlnica, małopolskie, Zakątek (1)']","['  rynek:  wtórny ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  rok budowy:  2010  ', '  czynsz:  1 zł ']"
"(['49.99975220'], ['20.02820230'])","[' telewizja kablowa ', '  internet ', ' balkon ']","[' cena   376 000 zł   5 780,17 zł/m² ', ' powierzchnia   65,05 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 1)  ']", Nr oferty w Otodom: 47648898 Nr oferty w biurze nieruchomości: BS2-MS-189337 Liczba wyświetleń strony: 120 Data dodania: 22.03.2017 Data aktualizacji: 22.03.2017 ,"['Wieliczka, małopolskie, Modrzewiowa']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  rok budowy:  2011  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  244,97 zł ']"
"(['50.07880940'], ['19.92220670'])","[' telewizja kablowa ', '  internet ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   390 000 zł   9 823,68 zł/m² ', ' powierzchnia   39,70 m²   ', ' liczba pokoi   1   ', ' piętro   1  (z 4)  ']", Nr oferty w Otodom: 47648904 Nr oferty w biurze nieruchomości: BS4-MS-189675 Liczba wyświetleń strony: 33 Data dodania: 22.03.2017 Data aktualizacji: 22.03.2017 ,"['Kraków, Krowodrza, Wrocławska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  2005  ', '  czynsz:  301 zł ', '  forma własności:  pełna własność ']"
