coords,dotted,main,meta,place,sub
"(['50.05850000'], ['19.95030000'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  winda ']","[' cena   1 500 000 zł   15 000 zł/m² ', ' powierzchnia   100 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 5)  ']", Nr oferty w Otodom: 47678404 Nr oferty w biurze nieruchomości: ABN-MS-21548 Liczba wyświetleń strony: 740 Data dodania: 24.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Grzegórzki,  Daszyńskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  czynsz:  700 zł ', '  forma własności:  pełna własność ']"
"(['50.01897850'], ['19.98809500'])","[' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   260 000 zł   5 663,25 zł/m² ', ' powierzchnia   45,91 m²   ', ' liczba pokoi   2   ', ' piętro   7  (z 9)  ']", Nr oferty w Otodom: 47494634 Nr oferty w biurze nieruchomości: 835/4879/OMS Liczba wyświetleń strony: 680 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Bieżanów-Prokocim, Polonijna']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ']"
"(['50.04513130'], ['19.95485440'])",[],"[' cena   215 000 zł   10 238,10 zł/m² ', ' powierzchnia   21 m²   ', ' liczba pokoi   1   ', ' piętro   parter  (z 2)  ']", Nr oferty w Otodom: 47629686 Nr oferty w biurze nieruchomości: 855/4879/OMS Liczba wyświetleń strony: 1832 Data dodania: 21.03.2017 Data aktualizacji: 23.03.2017 ,"['Kraków, Podgórze, Józefińska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ']"
"(['50.08469590'], ['19.93358280'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' meble ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   1 100 000 zł   11 340,21 zł/m² ', ' powierzchnia   97 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 7)  ']", Nr oferty w Otodom: 47285414 Nr oferty w biurze nieruchomości: 14196/2089/OMS Liczba wyświetleń strony: 1196 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Krowodrza, Kluczborska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  2007  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  460 zł ', '  forma własności:  pełna własność ']"
"(['50.08754430'], ['20.02142000'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' piwnica ']","[' cena   255 000 zł   4 722,22 zł/m² ', ' powierzchnia   54 m²   ', ' liczba pokoi   3   ', ' piętro   parter  (z 4)  ']", Nr oferty w Otodom: 47488440 Liczba wyświetleń strony: 466 Data dodania: ponad 14 dni temu Data aktualizacji: 19.03.2017 ,"['Kraków, Bieńczyce,  Kazimierzowskie']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  inne ', '  ogrzewanie:  miejskie ', '  rok budowy:  1970  ', '  stan wykończenia:  do remontu ', '  forma własności:  spółdzielcze wł. z KW ']"
"(['50.07584220'], ['19.93028250'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' teren zamknięty ', '  domofon / wideofon ', ' balkon ', '  piwnica ', '  garaż/miejsce parkingowe ', '  oddzielna kuchnia ']","[' cena   980 000 zł   8 166,67 zł/m² ', ' powierzchnia   120 m²   ', ' liczba pokoi   5   ', ' piętro   1  (z 4)  ']", Nr oferty w Otodom: 46179270 Liczba wyświetleń strony: 656 Data dodania: ponad 14 dni temu Data aktualizacji: 27.03.2017 ,"['Kraków, Łobzów,  Władysława Łokietka']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  materiał budynku:  żelbet ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2004  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ']"
"(['50.08630270'], ['19.89449610'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' teren zamknięty ', '  domofon / wideofon ', ' zmywarka ', '  lodówka ', '  meble ', '  piekarnik ', '  kuchenka ', '  telewizor ', '  pralka ', ' balkon ', '  piwnica ', '  oddzielna kuchnia ', '  dwupoziomowe ']","[' cena   490 000 zł   7 313,43 zł/m² ', ' powierzchnia   67 m²   ', ' liczba pokoi   3   ', ' piętro   3  (z 3)  ']", Nr oferty w Otodom: 44832154 Liczba wyświetleń strony: 670 Data dodania: ponad 14 dni temu Data aktualizacji: 21.03.2017 ,"['Kraków, Azory, Radzikowskiego 77a']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  gazowe ', '  rok budowy:  2001  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  360 zł ', '  forma własności:  pełna własność ']"
"(['50.01862660'], ['19.90553590'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  garaż/miejsce parkingowe ']","[' cena   745 000 zł   5 137,93 zł/m² ', ' powierzchnia   145 m²   ', ' liczba pokoi   4   ', ' piętro   3  (z 3)  ']", Nr oferty w Otodom: 47669174 Nr oferty w biurze nieruchomości: BS3-MS-189850 Liczba wyświetleń strony: 47 Data dodania: 24.03.2017 Data aktualizacji: 24.03.2017 ,"['Kraków, Ruczaj, Kobierzyńska']","['  rynek:  wtórny ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2006  ', '  czynsz:  800 zł ', '  forma własności:  pełna własność ']"
"(['50.08633020'], ['19.90833140'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' piwnica ']","[' cena   269 000 zł   7 406,39 zł/m² ', ' powierzchnia   36,32 m²   ', ' liczba pokoi   2   ', ' liczba pięter   4    ']", Nr oferty w Otodom: 47669170 Nr oferty w biurze nieruchomości: BS3-MS-189845 Liczba wyświetleń strony: 51 Data dodania: 24.03.2017 Data aktualizacji: 24.03.2017 ,"['Kraków, Azory, Weissa']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1970  ', '  czynsz:  350 zł ']"
"(['50.02291810'], ['19.93198650'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  piwnica ', '  winda ']","[' cena   285 000 zł   6 063,83 zł/m² ', ' powierzchnia   47 m²   ', ' liczba pokoi   3   ', ' piętro   9  (z 10)  ']", Nr oferty w Otodom: 47669166 Nr oferty w biurze nieruchomości: BS3-MS-189843 Liczba wyświetleń strony: 53 Data dodania: 24.03.2017 Data aktualizacji: 24.03.2017 ,"['Kraków, Cegielniana, Odrzańska']","['  rynek:  wtórny ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1979  ', '  czynsz:  340 zł ']"
