coords,dotted,main,meta,place,sub
"(['50.05850000'], ['19.95030000'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  winda ']","[' cena   1 500 000 zł   15 000 zł/m² ', ' powierzchnia   100 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 5)  ']", Nr oferty w Otodom: 47678404 Nr oferty w biurze nieruchomości: ABN-MS-21548 Liczba wyświetleń strony: 737 Data dodania: 24.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Grzegórzki,  Daszyńskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  czynsz:  700 zł ', '  forma własności:  pełna własność ']"
"(['50.01897850'], ['19.98809500'])","[' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   260 000 zł   5 663,25 zł/m² ', ' powierzchnia   45,91 m²   ', ' liczba pokoi   2   ', ' piętro   7  (z 9)  ']", Nr oferty w Otodom: 47494634 Nr oferty w biurze nieruchomości: 835/4879/OMS Liczba wyświetleń strony: 677 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Bieżanów-Prokocim, Polonijna']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ']"
"(['50.04513130'], ['19.95485440'])",[],"[' cena   215 000 zł   10 238,10 zł/m² ', ' powierzchnia   21 m²   ', ' liczba pokoi   1   ', ' piętro   parter  (z 2)  ']", Nr oferty w Otodom: 47629686 Nr oferty w biurze nieruchomości: 855/4879/OMS Liczba wyświetleń strony: 1828 Data dodania: 21.03.2017 Data aktualizacji: 23.03.2017 ,"['Kraków, Podgórze, Józefińska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ']"
"(['50.08469590'], ['19.93358280'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' meble ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   1 100 000 zł   11 340,21 zł/m² ', ' powierzchnia   97 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 7)  ']", Nr oferty w Otodom: 47285414 Nr oferty w biurze nieruchomości: 14196/2089/OMS Liczba wyświetleń strony: 1193 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Krowodrza, Kluczborska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  2007  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  460 zł ', '  forma własności:  pełna własność ']"
"(['50.01903590'], ['19.98831290'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' drzwi / okna antywłamaniowe ', '  teren zamknięty ', '  domofon / wideofon ', ' balkon ', '  winda ']","[' cena   225 000 zł   5 998,40 zł/m² ', ' powierzchnia   37,51 m²   ', ' liczba pokoi   2   ', ' piętro   3  (z 5)  ']", Nr oferty w Otodom: 47706640 Liczba wyświetleń strony: 227 Data dodania: 27.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Podgórze,  Wielicka']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ', '  czynsz:  230 zł ', '  forma własności:  pełna własność ']"
"(['50.07327550'], ['19.93457340'])","[' piwnica ', '  oddzielna kuchnia ']","[' cena   459 000 zł   7 650 zł/m² ', ' powierzchnia   60 m²   ', ' liczba pokoi   3   ', ' piętro   3  (z 3)  ']", Nr oferty w Otodom: 44176204 Nr oferty w biurze nieruchomości: 270/3949/OMS Liczba wyświetleń strony: 397 Data dodania: ponad 14 dni temu Data aktualizacji: 29.03.2017 ,"['Kraków, Krowodrza, Śląska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  1933  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  457 zł ', '  forma własności:  pełna własność ', '  dostępne od:  11 Stycznia 2017 ']"
"(['50.11612740'], ['19.96823070'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' garaż/miejsce parkingowe ', '  taras ']","[' cena   395 000 zł   3 495,58 zł/m² ', ' powierzchnia   113 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 2)  ']", Nr oferty w Otodom: 46381982 Nr oferty w biurze nieruchomości: BS2-MS-182330 Liczba wyświetleń strony: 141 Data dodania: ponad 14 dni temu Data aktualizacji: 17.03.2017 ,"['Zielonki, małopolskie, Węgrzce']","['  rynek:  pierwotny ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  rok budowy:  2016  ', '  forma własności:  pełna własność ']"
"(['50.01150000'], ['19.96310000'])",[],"[' cena   280 000 zł   5 833,33 zł/m² ', ' powierzchnia   48 m²   ', ' liczba pokoi   2   ', ' piętro   1  (z 5)  ']", Nr oferty w Otodom: 47675434 Nr oferty w biurze nieruchomości: 119/4932/OMS Liczba wyświetleń strony: 30 Data dodania: 24.03.2017 Data aktualizacji: 24.03.2017 ,"['Kraków, Kordiana']","['  rynek:  wtórny ', '  rok budowy:  1990  ']"
"(['50.05446150'], ['19.93960390'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' teren zamknięty ', ' piwnica ']","[' cena   690 000 zł   9 126,98 zł/m² ', ' powierzchnia   75,60 m²   ', ' liczba pokoi   3   ', ' piętro   4  (z 5)  ']", Nr oferty w Otodom: 46961490 Nr oferty w biurze nieruchomości: PIRY155 Liczba wyświetleń strony: 121 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Stare Miasto, Zyblikiewicza']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  ogrzewanie:  gazowe ', '  rok budowy:  1920  ', '  stan wykończenia:  do zamieszkania ']"
"(['50.01850440'], ['19.90706090'])","[' internet ', '  telefon ', ' piwnica ', '  ogródek ', '  taras ']","[' cena   205 000 zł   7 884,62 zł/m² ', ' powierzchnia   26 m²   ', ' liczba pokoi   1   ', ' piętro   parter  (z 3)  ']", Nr oferty w Otodom: 47171870 Nr oferty w biurze nieruchomości: BS1-MS-184674 Liczba wyświetleń strony: 1160 Data dodania: ponad 14 dni temu Data aktualizacji: 24.03.2017 ,"['Kraków, Ruczaj, Zalesie']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  rok budowy:  2013  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  220 zł ', '  forma własności:  pełna własność ']"
