coords,dotted,main,meta,place,sub
"(['50.05850000'], ['19.95030000'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  winda ']","[' cena   1 500 000 zł   15 000 zł/m² ', ' powierzchnia   100 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 5)  ']", Nr oferty w Otodom: 47678404 Nr oferty w biurze nieruchomości: ABN-MS-21548 Liczba wyświetleń strony: 738 Data dodania: 24.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Grzegórzki,  Daszyńskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  czynsz:  700 zł ', '  forma własności:  pełna własność ']"
"(['50.01897850'], ['19.98809500'])","[' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   260 000 zł   5 663,25 zł/m² ', ' powierzchnia   45,91 m²   ', ' liczba pokoi   2   ', ' piętro   7  (z 9)  ']", Nr oferty w Otodom: 47494634 Nr oferty w biurze nieruchomości: 835/4879/OMS Liczba wyświetleń strony: 678 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Bieżanów-Prokocim, Polonijna']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ']"
"(['50.04513130'], ['19.95485440'])",[],"[' cena   215 000 zł   10 238,10 zł/m² ', ' powierzchnia   21 m²   ', ' liczba pokoi   1   ', ' piętro   parter  (z 2)  ']", Nr oferty w Otodom: 47629686 Nr oferty w biurze nieruchomości: 855/4879/OMS Liczba wyświetleń strony: 1829 Data dodania: 21.03.2017 Data aktualizacji: 23.03.2017 ,"['Kraków, Podgórze, Józefińska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ']"
"(['50.08469590'], ['19.93358280'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' meble ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   1 100 000 zł   11 340,21 zł/m² ', ' powierzchnia   97 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 7)  ']", Nr oferty w Otodom: 47285414 Nr oferty w biurze nieruchomości: 14196/2089/OMS Liczba wyświetleń strony: 1194 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Krowodrza, Kluczborska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  2007  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  460 zł ', '  forma własności:  pełna własność ']"
"(['50.01895390'], ['19.92137470'])","[' balkon ', '  piwnica ', '  oddzielna kuchnia ']","[' cena   179 000 zł   6 392,86 zł/m² ', ' powierzchnia   28 m²   ', ' liczba pokoi   1   ', ' piętro   1  (z 2)  ']", Nr oferty w Otodom: 46673408 Liczba wyświetleń strony: 3923 Data dodania: ponad 14 dni temu Data aktualizacji: 25.03.2017 ,"['Kraków, Łagiewniki-Borek Fałęcki,  Kępna']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  stan wykończenia:  do wykończenia ', '  czynsz:  200 zł ', '  forma własności:  pełna własność ', '  dostępne od:  3 Stycznia 2017 ']"
"(['50.07388650'], ['19.92896990'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' piwnica ', '  pom. użytkowe ']","[' cena   324 900 zł   11 126,71 zł/m² ', ' powierzchnia   29,20 m²   ', ' liczba pokoi   1   ', ' piętro   parter  (z 2)  ']", Nr oferty w Otodom: 47672906 Nr oferty w biurze nieruchomości: 857/4879/OMS Liczba wyświetleń strony: 71 Data dodania: 24.03.2017 Data aktualizacji: 27.03.2017 ,"['Kraków, Krowodrza, Cieszyńska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  okna:  drewniane ', '  ogrzewanie:  gazowe ', '  rok budowy:  1935  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  160 zł ', '  forma własności:  pełna własność ']"
"(['50.01895390'], ['19.92137470'])","[' telewizja kablowa ', '  internet ', ' domofon / wideofon ', ' piwnica ', '  oddzielna kuchnia ', '  pom. użytkowe ']","[' cena   175 000 zł   6 140,35 zł/m² ', ' powierzchnia   28,50 m²   ', ' liczba pokoi   1   ', ' piętro   1  (z 2)  ']", Nr oferty w Otodom: 44627056 Liczba wyświetleń strony: 543 Data dodania: ponad 14 dni temu Data aktualizacji: 29.03.2017 ,"['Kraków, Borek Fałęcki,  Kępna']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1960  ', '  stan wykończenia:  do wykończenia ', '  czynsz:  200 zł ', '  forma własności:  pełna własność ']"
"(['50.07864920'], ['20.03242870'])",[],"[' cena   260 000 zł   5 000 zł/m² ', ' powierzchnia   52 m²   ', ' liczba pokoi   2   ', ' piętro   3  (z 3)  ']", Nr oferty w Otodom: 47186144 Nr oferty w biurze nieruchomości: ATW-MS-341 Liczba wyświetleń strony: 249 Data dodania: ponad 14 dni temu Data aktualizacji: 24.03.2017 ,"['Kraków, Nowa Huta,  Teatralne']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  stan wykończenia:  do zamieszkania ']"
"(['50.08610220'], ['20.01291930'])","[' balkon ', '  winda ']","[' cena   290 000 zł   5 576,92 zł/m² ', ' powierzchnia   52 m²   ', ' liczba pokoi   3   ', ' piętro   2  (z 10)  ']", Nr oferty w Otodom: 47047166 Nr oferty w biurze nieruchomości: ATW-MS-78 Liczba wyświetleń strony: 202 Data dodania: ponad 14 dni temu Data aktualizacji: 24.03.2017 ,"['Kraków, Czyżyny,  Dywizjonu 303']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  ogrzewanie:  miejskie ', '  stan wykończenia:  do remontu ']"
"(['50.09427130'], ['19.93114880'])","[' balkon ', '  winda ']","[' cena   360 000 zł   7 200 zł/m² ', ' powierzchnia   50 m²   ', ' liczba pokoi   2   ', ' piętro   2  (z 4)  ']", Nr oferty w Otodom: 47673782 Nr oferty w biurze nieruchomości: HME-MS-5088 Liczba wyświetleń strony: 39 Data dodania: 24.03.2017 Data aktualizacji: 27.03.2017 ,"['Kraków, Prądnik Biały, przecznica 29 Listopada']","['  rynek:  wtórny ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  2011  ', '  forma własności:  pełna własność ']"
