coords,dotted,main,meta,place,sub
"(['50.05850000'], ['19.95030000'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  winda ']","[' cena   1 500 000 zł   15 000 zł/m² ', ' powierzchnia   100 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 5)  ']", Nr oferty w Otodom: 47678404 Nr oferty w biurze nieruchomości: ABN-MS-21548 Liczba wyświetleń strony: 720 Data dodania: 24.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Grzegórzki,  Daszyńskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  czynsz:  700 zł ', '  forma własności:  pełna własność ']"
"(['50.01897850'], ['19.98809500'])","[' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   260 000 zł   5 663,25 zł/m² ', ' powierzchnia   45,91 m²   ', ' liczba pokoi   2   ', ' piętro   7  (z 9)  ']", Nr oferty w Otodom: 47494634 Nr oferty w biurze nieruchomości: 835/4879/OMS Liczba wyświetleń strony: 656 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Bieżanów-Prokocim, Polonijna']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ']"
"(['50.04513130'], ['19.95485440'])",[],"[' cena   215 000 zł   10 238,10 zł/m² ', ' powierzchnia   21 m²   ', ' liczba pokoi   1   ', ' piętro   parter  (z 2)  ']", Nr oferty w Otodom: 47629686 Nr oferty w biurze nieruchomości: 855/4879/OMS Liczba wyświetleń strony: 1812 Data dodania: 21.03.2017 Data aktualizacji: 23.03.2017 ,"['Kraków, Podgórze, Józefińska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ']"
"(['50.08469590'], ['19.93358280'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' meble ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   1 100 000 zł   11 340,21 zł/m² ', ' powierzchnia   97 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 7)  ']", Nr oferty w Otodom: 47285414 Nr oferty w biurze nieruchomości: 14196/2089/OMS Liczba wyświetleń strony: 1176 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Krowodrza, Kluczborska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  2007  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  460 zł ', '  forma własności:  pełna własność ']"
"(['50.06017720'], ['19.96783860'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   670 000 zł   8 052,88 zł/m² ', ' powierzchnia   83,20 m²   ', ' liczba pokoi   4   ', ' piętro   4  (z 5)  ']", Nr oferty w Otodom: 47585710 Nr oferty w biurze nieruchomości: ATM-MS-437 Liczba wyświetleń strony: 178 Data dodania: 17.03.2017 Data aktualizacji: 25.03.2017 ,"['Kraków, Grzegórzki, Grzegórzecka']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2003  ', '  forma własności:  pełna własność ']"
"(['50.06354610'], ['19.94608590'])",[],"[' cena   2 039 000 zł   9 062,22 zł/m² ', ' powierzchnia   225 m²   ', ' liczba pokoi   6   ', ' piętro   2  (z 3)  ']", Nr oferty w Otodom: 47435594 Nr oferty w biurze nieruchomości: 515/3578/OMS Liczba wyświetleń strony: 215 Data dodania: ponad 14 dni temu Data aktualizacji: 27.03.2017 ,"['Kraków, Stare Miasto, Westerplatte']","['  rynek:  wtórny ', '  rok budowy:  1880  ', '  forma własności:  pełna własność ']"
"(['50.04545930'], ['20.00020250'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' domofon / wideofon ', ' balkon ', '  piwnica ', '  winda ', '  oddzielna kuchnia ']","[' cena   395 000 zł   4 509,13 zł/m² ', ' powierzchnia   87,60 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 10)  ']", Nr oferty w Otodom: 47369716 Liczba wyświetleń strony: 312 Data dodania: ponad 14 dni temu Data aktualizacji: 24.03.2017 ,"['Kraków, Płaszów,  Lasówka']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1992  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ']"
"(['50.05785630'], ['19.90657490'])","[' telewizja kablowa ', '  internet ', '  telefon ']","[' cena   460 000 zł   7 666,67 zł/m² ', ' powierzchnia   60 m²   ', ' liczba pokoi   3   ', ' piętro   2  (z 3)  ']", Nr oferty w Otodom: 47717748 Nr oferty w biurze nieruchomości: KHN-MS-5517 Liczba wyświetleń strony: 22 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Salwator, Królowej Jadwigi']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  rok budowy:  2002  ', '  czynsz:  550 zł ', '  forma własności:  pełna własność ']"
"(['50.06834370'], ['20.01246000'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' garaż/miejsce parkingowe ', '  ogródek ', '  winda ']","[' cena   309 138 zł   5 818,52 zł/m² ', ' powierzchnia   53,13 m²   ', ' liczba pokoi   3   ', ' piętro   parter  (z 6)  ']", Nr oferty w Otodom: 47717754 Nr oferty w biurze nieruchomości: KHN-MS-5562 Liczba wyświetleń strony: 37 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Czyżyny, Aleja Pokoju']","['  rynek:  wtórny ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  forma własności:  pełna własność ']"
"(['50.07929110'], ['19.97390900'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' drzwi / okna antywłamaniowe ', '  domofon / wideofon ', ' lodówka ', '  meble ', '  kuchenka ', '  pralka ', ' balkon ', '  piwnica ']","[' cena   299 000 zł   6 795,45 zł/m² ', ' powierzchnia   44 m²   ', ' liczba pokoi   2   ', ' piętro   3  (z 10)  ']", Nr oferty w Otodom: 47289430 Liczba wyświetleń strony: 1366 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Olsza,  Żwirki i Wigury']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  wielka płyta ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1980  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  344 zł ', '  forma własności:  spółdzielcze własnościowe ', '  dostępne od:  22 Lutego 2017 ']"
