coords,dotted,main,meta,place,sub
"(['50.05850000'], ['19.95030000'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  winda ']","[' cena   1 500 000 zł   15 000 zł/m² ', ' powierzchnia   100 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 5)  ']", Nr oferty w Otodom: 47678404 Nr oferty w biurze nieruchomości: ABN-MS-21548 Liczba wyświetleń strony: 709 Data dodania: 24.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Grzegórzki,  Daszyńskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  czynsz:  700 zł ', '  forma własności:  pełna własność ']"
"(['50.01897850'], ['19.98809500'])","[' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   260 000 zł   5 663,25 zł/m² ', ' powierzchnia   45,91 m²   ', ' liczba pokoi   2   ', ' piętro   7  (z 9)  ']", Nr oferty w Otodom: 47494634 Nr oferty w biurze nieruchomości: 835/4879/OMS Liczba wyświetleń strony: 648 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Bieżanów-Prokocim, Polonijna']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ']"
"(['50.04513130'], ['19.95485440'])",[],"[' cena   215 000 zł   10 238,10 zł/m² ', ' powierzchnia   21 m²   ', ' liczba pokoi   1   ', ' piętro   parter  (z 2)  ']", Nr oferty w Otodom: 47629686 Nr oferty w biurze nieruchomości: 855/4879/OMS Liczba wyświetleń strony: 1801 Data dodania: 21.03.2017 Data aktualizacji: 23.03.2017 ,"['Kraków, Podgórze, Józefińska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ']"
"(['50.08469590'], ['19.93358280'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' meble ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   1 100 000 zł   11 340,21 zł/m² ', ' powierzchnia   97 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 7)  ']", Nr oferty w Otodom: 47285414 Nr oferty w biurze nieruchomości: 14196/2089/OMS Liczba wyświetleń strony: 1164 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Krowodrza, Kluczborska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  2007  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  460 zł ', '  forma własności:  pełna własność ']"
"(['50.01748750'], ['20.22304540'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' drzwi / okna antywłamaniowe ', '  teren zamknięty ', '  domofon / wideofon ', ' ogródek ', '  taras ']","[' cena   255 000 zł   4 225,35 zł/m² ', ' powierzchnia   60,35 m²   ', ' liczba pokoi   3   ', ' piętro   parter  (z 2)  ']", Nr oferty w Otodom: 43854649 Liczba wyświetleń strony: 3924 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Niepołomice, małopolskie, Centrum, Wrzosy']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  apartamentowiec ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  ogrzewanie:  gazowe ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ', '  forma własności:  pełna własność ', '  dostępne od:  1 Czerwca 2017 ']"
"(['50.07715260'], ['19.98046570'])","[' piwnica ', '  winda ']","[' cena   180 000 zł   8 399,44 zł/m² ', ' powierzchnia   21,43 m²   ', ' liczba pokoi   1   ', ' piętro   6  (z 8)  ']", Nr oferty w Otodom: 47597084 Nr oferty w biurze nieruchomości: 852/4879/OMS Liczba wyświetleń strony: 846 Data dodania: 18.03.2017 Data aktualizacji: 23.03.2017 ,"['Kraków, Janusza Meissnera']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  rok budowy:  1984  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  240 zł ', '  forma własności:  pełna własność ']"
"(['50.09131950'], ['19.98891360'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  piwnica ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   280 014 zł   5 850,69 zł/m² ', ' powierzchnia   47,86 m²   ', ' liczba pokoi   2   ', ' piętro   3  (z 5)  ']", Nr oferty w Otodom: 47220492 Nr oferty w biurze nieruchomości: ATM-MS-408 Liczba wyświetleń strony: 272 Data dodania: ponad 14 dni temu Data aktualizacji: 20.03.2017 ,"['Kraków, Prądnik Czerwony']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  forma własności:  pełna własność ']"
"(['50.07652960'], ['19.92628920'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' winda ']","[' cena   305 000 zł   7 439,02 zł/m² ', ' powierzchnia   41 m²   ', ' liczba pokoi   2   ', ' piętro   6  (z 10)  ']", Nr oferty w Otodom: 47734130 Nr oferty w biurze nieruchomości: 1/5698/OMS Liczba wyświetleń strony: 29 Data dodania: 29.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Krowodrza, Wrocławska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  ogrzewanie:  inne ', '  rok budowy:  2017  ', '  forma własności:  pełna własność ']"
"(['50.08384820'], ['19.94354620'])","[' telewizja kablowa ', '  internet ', '  telefon ']","[' cena   280 000 zł   8 000 zł/m² ', ' powierzchnia   35 m²   ', ' liczba pokoi   2   ', ' piętro   4  (z 4)  ']", Nr oferty w Otodom: 47733900 Nr oferty w biurze nieruchomości: 1642/4437/OMS Liczba wyświetleń strony: 49 Data dodania: 29.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Krowodrza']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  rok budowy:  1980  ', '  forma własności:  pełna własność ']"
"(['50.07975690'], ['19.97318130'])",[' piwnica '],"[' cena   205 000 zł   6 406,25 zł/m² ', ' powierzchnia   32 m²   ', ' liczba pokoi   2   ', ' piętro   2  (z 10)  ']", Nr oferty w Otodom: 47733902 Nr oferty w biurze nieruchomości: 43590 Liczba wyświetleń strony: 26 Data dodania: 29.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Olsza, Pilotów']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  stan wykończenia:  do remontu ', '  czynsz:  300 zł ']"
