coords,dotted,main,meta,place,sub
"(['50.05850000'], ['19.95030000'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  winda ']","[' cena   1 500 000 zł   15 000 zł/m² ', ' powierzchnia   100 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 5)  ']", Nr oferty w Otodom: 47678404 Nr oferty w biurze nieruchomości: ABN-MS-21548 Liczba wyświetleń strony: 716 Data dodania: 24.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Grzegórzki,  Daszyńskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  czynsz:  700 zł ', '  forma własności:  pełna własność ']"
"(['50.01897850'], ['19.98809500'])","[' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   260 000 zł   5 663,25 zł/m² ', ' powierzchnia   45,91 m²   ', ' liczba pokoi   2   ', ' piętro   7  (z 9)  ']", Nr oferty w Otodom: 47494634 Nr oferty w biurze nieruchomości: 835/4879/OMS Liczba wyświetleń strony: 653 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Bieżanów-Prokocim, Polonijna']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ']"
"(['50.04513130'], ['19.95485440'])",[],"[' cena   215 000 zł   10 238,10 zł/m² ', ' powierzchnia   21 m²   ', ' liczba pokoi   1   ', ' piętro   parter  (z 2)  ']", Nr oferty w Otodom: 47629686 Nr oferty w biurze nieruchomości: 855/4879/OMS Liczba wyświetleń strony: 1806 Data dodania: 21.03.2017 Data aktualizacji: 23.03.2017 ,"['Kraków, Podgórze, Józefińska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ']"
"(['50.08469590'], ['19.93358280'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' meble ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   1 100 000 zł   11 340,21 zł/m² ', ' powierzchnia   97 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 7)  ']", Nr oferty w Otodom: 47285414 Nr oferty w biurze nieruchomości: 14196/2089/OMS Liczba wyświetleń strony: 1171 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Krowodrza, Kluczborska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  2007  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  460 zł ', '  forma własności:  pełna własność ']"
"(['50.07291430'], ['20.01714370'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ']","[' cena   240 000 zł   6 486,49 zł/m² ', ' powierzchnia   37 m²   ', ' liczba pokoi   2   ', ' piętro   5  (z 6)  ']", Nr oferty w Otodom: 46667044 Liczba wyświetleń strony: 5375 Data dodania: ponad 14 dni temu Data aktualizacji: 25.03.2017 ,"['Kraków, Czyżyny, Bieńczycka/Jana Pawła II']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  inne ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2016  ', '  stan wykończenia:  do wykończenia ', '  czynsz:  230 zł ', '  forma własności:  pełna własność ', '  dostępne od:  31 Marca 2017 ']"
"(['50.06695620'], ['19.97139720'])","[' telewizja kablowa ', '  internet ', '  telefon ']","[' cena   315 000 zł   11 666,67 zł/m² ', ' powierzchnia   27 m²   ', ' liczba pokoi   1   ', ' piętro   4  (z 4)  ']", Nr oferty w Otodom: 47517126 Nr oferty w biurze nieruchomości: 840/4879/OMS Liczba wyświetleń strony: 231 Data dodania: ponad 14 dni temu Data aktualizacji: 24.03.2017 ,"['Kraków, Grzegórzki, Mogilska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1955  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  270 zł ', '  forma własności:  pełna własność ']"
"(['50.02072260'], ['19.90167100'])","[' internet ', ' domofon / wideofon ', ' balkon ', '  piwnica ']","[' cena   305 000 zł   6 354,17 zł/m² ', ' powierzchnia   48 m²   ', ' liczba pokoi   2   ', ' piętro   3  (z 3)  ']", Nr oferty w Otodom: 47049352 Nr oferty w biurze nieruchomości: 829226 Liczba wyświetleń strony: 540 Data dodania: ponad 14 dni temu Data aktualizacji: 26.03.2017 ,"['Kraków, Dębniki, Raciborska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  inne ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2003  ', '  czynsz:  310 zł ', '  forma własności:  pełna własność ']"
"(['50.00504150'], ['19.94982550'])","[' balkon ', '  piwnica ']","[' cena   325 000 zł   5 241,94 zł/m² ', ' powierzchnia   62 m²   ', ' liczba pokoi   3   ', ' piętro   3  (z 4)  ']", Nr oferty w Otodom: 47725208 Nr oferty w biurze nieruchomości: MS-19814 Liczba wyświetleń strony: 14 Data dodania: 29.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Kurdwanów, Stojałowskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1985  ', '  czynsz:  500 zł ', '  forma własności:  pełna własność ']"
"(['50.04297290'], ['19.93213130'])","[' balkon ', '  piwnica ']","[' cena   310 000 zł   8 157,89 zł/m² ', ' powierzchnia   38 m²   ', ' liczba pokoi   2   ', ' piętro   parter  (z 4)  ']", Nr oferty w Otodom: 47725214 Nr oferty w biurze nieruchomości: MS-19842 Liczba wyświetleń strony: 14 Data dodania: 29.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Podwawelskie, Komandosów']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1975  ']"
"(['50.01876920'], ['19.90639350'])",[' balkon '],"[' cena   209 000 zł   6 147,06 zł/m² ', ' powierzchnia   34 m²   ', ' liczba pokoi   1   ', ' piętro   2  (z 3)  ']", Nr oferty w Otodom: 47725204 Nr oferty w biurze nieruchomości: MS-19772 Liczba wyświetleń strony: 19 Data dodania: 29.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Ruczaj, Obozowa']","['  rynek:  wtórny ', '  rok budowy:  2003  ', '  czynsz:  130 zł ']"
