coords,dotted,main,meta,place,sub
"(['50.05850000'], ['19.95030000'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  winda ']","[' cena   1 500 000 zł   15 000 zł/m² ', ' powierzchnia   100 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 5)  ']", Nr oferty w Otodom: 47678404 Nr oferty w biurze nieruchomości: ABN-MS-21548 Liczba wyświetleń strony: 721 Data dodania: 24.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Grzegórzki,  Daszyńskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  czynsz:  700 zł ', '  forma własności:  pełna własność ']"
"(['50.01897850'], ['19.98809500'])","[' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   260 000 zł   5 663,25 zł/m² ', ' powierzchnia   45,91 m²   ', ' liczba pokoi   2   ', ' piętro   7  (z 9)  ']", Nr oferty w Otodom: 47494634 Nr oferty w biurze nieruchomości: 835/4879/OMS Liczba wyświetleń strony: 657 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Bieżanów-Prokocim, Polonijna']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ']"
"(['50.04513130'], ['19.95485440'])",[],"[' cena   215 000 zł   10 238,10 zł/m² ', ' powierzchnia   21 m²   ', ' liczba pokoi   1   ', ' piętro   parter  (z 2)  ']", Nr oferty w Otodom: 47629686 Nr oferty w biurze nieruchomości: 855/4879/OMS Liczba wyświetleń strony: 1813 Data dodania: 21.03.2017 Data aktualizacji: 23.03.2017 ,"['Kraków, Podgórze, Józefińska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ']"
"(['50.08469590'], ['19.93358280'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' meble ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   1 100 000 zł   11 340,21 zł/m² ', ' powierzchnia   97 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 7)  ']", Nr oferty w Otodom: 47285414 Nr oferty w biurze nieruchomości: 14196/2089/OMS Liczba wyświetleń strony: 1177 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Krowodrza, Kluczborska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  2007  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  460 zł ', '  forma własności:  pełna własność ']"
"(['50.01570710'], ['20.02324900'])","[' domofon / wideofon ', ' balkon ', '  piwnica ', '  winda ']","[' cena   285 000 zł   5 089,29 zł/m² ', ' powierzchnia   56 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 10)  ']", Nr oferty w Otodom: 47717926 Nr oferty w biurze nieruchomości: 829883 Liczba wyświetleń strony: 38 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Prokocim']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  340 zł ', '  forma własności:  spółdzielcze własnościowe ']"
"(['50.06871070'], ['19.94929180'])",[],"[' cena   245 000 zł   12 237,76 zł/m² ', ' powierzchnia   20,02 m²   ', ' liczba pokoi   1   ', ' piętro   4  (z 4)  ']", Nr oferty w Otodom: 47366776 Nr oferty w biurze nieruchomości: 455420 Liczba wyświetleń strony: 185 Data dodania: ponad 14 dni temu Data aktualizacji: 24.03.2017 ,"['Kraków, Stare Miasto, Lubomirskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  rok budowy:  1950  ']"
"(['50.08535660'], ['19.91110260'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' piwnica ']","[' cena   205 000 zł   8 200 zł/m² ', ' powierzchnia   25 m²   ', ' liczba pokoi   1   ', ' piętro   3  (z 4)  ']", Nr oferty w Otodom: 47167422 Nr oferty w biurze nieruchomości: 798/4879/OMS Liczba wyświetleń strony: 756 Data dodania: ponad 14 dni temu Data aktualizacji: 22.03.2017 ,"['Kraków, Azory, Stanisława Lentza']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1970  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ']"
"(['50.02866720'], ['19.95169610'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   384 000 zł   6 668,98 zł/m² ', ' powierzchnia   57,58 m²   ', ' liczba pokoi   3   ', ' piętro   5  (z 6)  ']", Nr oferty w Otodom: 47716288 Nr oferty w biurze nieruchomości: BS2-MS-186536 Liczba wyświetleń strony: 9 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Wola Duchacka, Kamieńskiego - okolice']","['  rynek:  pierwotny ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  forma własności:  pełna własność ']"
"(['50.02866720'], ['19.95169610'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   394 000 zł   6 543,76 zł/m² ', ' powierzchnia   60,21 m²   ', ' liczba pokoi   3   ', ' piętro   5  (z 6)  ']", Nr oferty w Otodom: 47716298 Nr oferty w biurze nieruchomości: BS2-MS-186558 Liczba wyświetleń strony: 11 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Wola Duchacka, Kamieńskiego - okolice']","['  rynek:  pierwotny ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  forma własności:  pełna własność ']"
"(['50.03015840'], ['19.92817110'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   337 000 zł   7 842,68 zł/m² ', ' powierzchnia   42,97 m²   ', ' liczba pokoi   2   ', ' piętro   4  (z 4)  ']", Nr oferty w Otodom: 47716278 Nr oferty w biurze nieruchomości: BS2-MS-184920 Liczba wyświetleń strony: 9 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Podgórze, Brożka - okolice']","['  rynek:  pierwotny ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  forma własności:  pełna własność ']"
"(['50.03015840'], ['19.92817110'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   669 000 zł   7 184,28 zł/m² ', ' powierzchnia   93,12 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 4)  ']", Nr oferty w Otodom: 47716282 Nr oferty w biurze nieruchomości: BS2-MS-184940 Liczba wyświetleń strony: 11 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Podgórze, Brożka - okolice']","['  rynek:  pierwotny ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  forma własności:  pełna własność ']"
"(['50.02866720'], ['19.95169610'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   354 000 zł   6 348,64 zł/m² ', ' powierzchnia   55,76 m²   ', ' liczba pokoi   3   ', ' piętro   2  (z 8)  ']", Nr oferty w Otodom: 47716270 Nr oferty w biurze nieruchomości: BS2-MS-186438 Liczba wyświetleń strony: 9 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Wola Duchacka, Kamieńskiego - okolice']","['  rynek:  pierwotny ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  forma własności:  pełna własność ']"
"(['50.01500480'], ['20.00112460'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  piwnica ', '  garaż/miejsce parkingowe ']","[' cena   185 000 zł   5 606,06 zł/m² ', ' powierzchnia   33 m²   ', ' liczba pokoi   1   ', ' piętro   2  (z 4)  ']", Nr oferty w Otodom: 47716258 Nr oferty w biurze nieruchomości: ECH-MS-10171 Liczba wyświetleń strony: 25 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Prokocim, Kurczaba']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1984  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  240 zł ', '  forma własności:  pełna własność ']"
"(['50.02866720'], ['19.95169610'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   384 000 zł   6 378,74 zł/m² ', ' powierzchnia   60,20 m²   ', ' liczba pokoi   3   ', ' piętro   3  (z 6)  ']", Nr oferty w Otodom: 47716256 Nr oferty w biurze nieruchomości: BS2-MS-186689 Liczba wyświetleń strony: 11 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Wola Duchacka, Kamieńskiego - okolice']","['  rynek:  pierwotny ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  forma własności:  pełna własność ']"
"(['50.01065160'], ['20.00802850'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  piwnica ']","[' cena   225 000 zł   5 625 zł/m² ', ' powierzchnia   40 m²   ', ' liczba pokoi   2   ', ' piętro   4  (z 4)  ']", Nr oferty w Otodom: 47716254 Nr oferty w biurze nieruchomości: ECH-MS-10170 Liczba wyświetleń strony: 31 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Bieżanów-Prokocim, Jerzmanowskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1980  ', '  czynsz:  280 zł ', '  forma własności:  spółdzielcze własnościowe ']"
"(['50.03015840'], ['19.92817110'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   376 000 zł   7 695,46 zł/m² ', ' powierzchnia   48,86 m²   ', ' liczba pokoi   2   ', ' piętro   6  (z 6)  ']", Nr oferty w Otodom: 47716250 Nr oferty w biurze nieruchomości: BS2-MS-185307 Liczba wyświetleń strony: 10 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Podgórze, Brożka - okolice']","['  rynek:  pierwotny ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  forma własności:  pełna własność ']"
"(['50.05259980'], ['19.94471910'])","[' telewizja kablowa ', '  internet ', ' balkon ']","[' cena   320 000 zł   10 000 zł/m² ', ' powierzchnia   32 m²   ', ' liczba pokoi   1   ', ' piętro   3  (z 3)  ']", Nr oferty w Otodom: 47716240 Nr oferty w biurze nieruchomości: ECH-MS-10168 Liczba wyświetleń strony: 21 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Kazimierz, Podbrzezie']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  gazowe ', '  rok budowy:  1890  ', '  czynsz:  270 zł ', '  forma własności:  udział ']"
"(['50.02866720'], ['19.95169610'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   399 000 zł   6 627,91 zł/m² ', ' powierzchnia   60,20 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 6)  ']", Nr oferty w Otodom: 47716242 Nr oferty w biurze nieruchomości: BS2-MS-186695 Liczba wyświetleń strony: 9 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Wola Duchacka, Kamieńskiego - okolice']","['  rynek:  pierwotny ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  forma własności:  pełna własność ']"
"(['50.01347250'], ['20.01227400'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' klimatyzacja ', '  balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   535 000 zł   7 846,88 zł/m² ', ' powierzchnia   68,18 m²   ', ' liczba pokoi   3   ', ' piętro   2  (z 4)  ']", Nr oferty w Otodom: 47716244 Nr oferty w biurze nieruchomości: ECH-MS-10169 Liczba wyświetleń strony: 30 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Bieżanów, Aleksandry']","['  rynek:  wtórny ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2016  ', '  czynsz:  350 zł ', '  forma własności:  pełna własność ']"
"(['50.01931780'], ['19.97773080'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  piwnica ']","[' cena   295 000 zł   5 462,96 zł/m² ', ' powierzchnia   54 m²   ', ' liczba pokoi   3   ', ' piętro   4  (z 4)  ']", Nr oferty w Otodom: 47716236 Nr oferty w biurze nieruchomości: ECH-MS-10167 Liczba wyświetleń strony: 28 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Wola Duchacka, Serbska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1980  ', '  czynsz:  370 zł ', '  forma własności:  spółdzielcze własnościowe ']"
"(['50.02866720'], ['19.95169610'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' garaż/miejsce parkingowe ', '  ogródek ', '  winda ']","[' cena   409 000 zł   6 509,63 zł/m² ', ' powierzchnia   62,83 m²   ', ' liczba pokoi   3   ', ' piętro   parter  (z 6)  ']", Nr oferty w Otodom: 47716230 Nr oferty w biurze nieruchomości: BS2-MS-186568 Liczba wyświetleń strony: 11 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Wola Duchacka, Kamieńskiego - okolice']","['  rynek:  pierwotny ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  forma własności:  pełna własność ']"
"(['50.05407080'], ['19.92039140'])","[' oddzielna kuchnia ', '  dwupoziomowe ']","[' cena   890 000 zł   5 933,33 zł/m² ', ' powierzchnia   150 m²   ', ' liczba pokoi   5   ', ' piętro   4  (z 4)  ']", Nr oferty w Otodom: 47716218 Nr oferty w biurze nieruchomości: 70359 Liczba wyświetleń strony: 29 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Salwator']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  drewniane ', '  rok budowy:  1997  ']"
"(['50.02866720'], ['19.95169610'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   359 000 zł   6 220,76 zł/m² ', ' powierzchnia   57,71 m²   ', ' liczba pokoi   3   ', ' piętro   3  (z 8)  ']", Nr oferty w Otodom: 47716220 Nr oferty w biurze nieruchomości: BS2-MS-186442 Liczba wyświetleń strony: 12 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Wola Duchacka, Kamieńskiego - okolice']","['  rynek:  pierwotny ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  forma własności:  pełna własność ']"
"(['50.01145880'], ['20.00869700'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' winda ']","[' cena   169 000 zł   5 633,33 zł/m² ', ' powierzchnia   30 m²   ', ' liczba pokoi   2   ', ' piętro   2  (z 10)  ']", Nr oferty w Otodom: 47716214 Nr oferty w biurze nieruchomości: ECH-MS-10164 Liczba wyświetleń strony: 28 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Prokocim, Kurczaba']","['  rynek:  wtórny ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1975  ', '  czynsz:  250 zł ', '  forma własności:  pełna własność ']"
"(['50.03957430'], ['19.97883680'])","[' internet ', '  telefon ', ' monitoring / ochrona ', ' balkon ', '  garaż/miejsce parkingowe ']","[' cena   370 000 zł   7 254,90 zł/m² ', ' powierzchnia   51 m²   ', ' liczba pokoi   2   ', ' piętro   2  (z 3)  ']", Nr oferty w Otodom: 47716222 Nr oferty w biurze nieruchomości: ECH-MS-10165 Liczba wyświetleń strony: 16 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Płaszów, Wodna']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2010  ', '  czynsz:  300 zł ', '  forma własności:  pełna własność ']"
"(['50.03015840'], ['19.92817110'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   421 000 zł   7 291,31 zł/m² ', ' powierzchnia   57,74 m²   ', ' liczba pokoi   3   ', ' piętro   3  (z 4)  ']", Nr oferty w Otodom: 47716210 Nr oferty w biurze nieruchomości: BS2-MS-184930 Liczba wyświetleń strony: 10 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Podgórze, Brożka - okolice']","['  rynek:  pierwotny ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  forma własności:  pełna własność ']"
"(['50.02866720'], ['19.95169610'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   345 000 zł   6 187,23 zł/m² ', ' powierzchnia   55,76 m²   ', ' liczba pokoi   3   ', ' piętro   1  (z 8)  ']", Nr oferty w Otodom: 47716200 Nr oferty w biurze nieruchomości: BS2-MS-186435 Liczba wyświetleń strony: 9 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Wola Duchacka, Kamieńskiego - okolice']","['  rynek:  pierwotny ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  forma własności:  pełna własność ']"
"(['50.06461750'], ['19.94562630'])","[' internet ', '  telefon ']","[' cena   499 000 zł   8 708,55 zł/m² ', ' powierzchnia   57,30 m²   ', ' liczba pokoi   3   ', ' piętro   4  (z 4)  ']", Nr oferty w Otodom: 47716208 Nr oferty w biurze nieruchomości: ECH-MS-10162 Liczba wyświetleń strony: 25 Data dodania: 28.03.2017 Data aktualizacji: 28.03.2017 ,"['Kraków, Stare Miasto, Radziwiłłowska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  gazowe ', '  rok budowy:  2016  ', '  czynsz:  170 zł ', '  forma własności:  pełna własność ']"
