coords,dotted,main,meta,place,sub
"(['50.05850000'], ['19.95030000'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  winda ']","[' cena   1 500 000 zł   15 000 zł/m² ', ' powierzchnia   100 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 5)  ']", Nr oferty w Otodom: 47678404 Nr oferty w biurze nieruchomości: ABN-MS-21548 Liczba wyświetleń strony: 713 Data dodania: 24.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Grzegórzki,  Daszyńskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  czynsz:  700 zł ', '  forma własności:  pełna własność ']"
"(['50.01897850'], ['19.98809500'])","[' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   260 000 zł   5 663,25 zł/m² ', ' powierzchnia   45,91 m²   ', ' liczba pokoi   2   ', ' piętro   7  (z 9)  ']", Nr oferty w Otodom: 47494634 Nr oferty w biurze nieruchomości: 835/4879/OMS Liczba wyświetleń strony: 651 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Bieżanów-Prokocim, Polonijna']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ']"
"(['50.04513130'], ['19.95485440'])",[],"[' cena   215 000 zł   10 238,10 zł/m² ', ' powierzchnia   21 m²   ', ' liczba pokoi   1   ', ' piętro   parter  (z 2)  ']", Nr oferty w Otodom: 47629686 Nr oferty w biurze nieruchomości: 855/4879/OMS Liczba wyświetleń strony: 1804 Data dodania: 21.03.2017 Data aktualizacji: 23.03.2017 ,"['Kraków, Podgórze, Józefińska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ']"
"(['50.08469590'], ['19.93358280'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' meble ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   1 100 000 zł   11 340,21 zł/m² ', ' powierzchnia   97 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 7)  ']", Nr oferty w Otodom: 47285414 Nr oferty w biurze nieruchomości: 14196/2089/OMS Liczba wyświetleń strony: 1168 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Krowodrza, Kluczborska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  2007  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  460 zł ', '  forma własności:  pełna własność ']"
"(['50.10419480'], ['20.06205460'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' system alarmowy ', '  teren zamknięty ', '  domofon / wideofon ', ' balkon ', '  piwnica ', '  garaż/miejsce parkingowe ', '  ogródek ', '  oddzielna kuchnia ', '  taras ', '  pom. użytkowe ']","[' cena   299 000 zł   3 436,78 zł/m² ', ' powierzchnia   87 m²   ', ' liczba pokoi   4   ', ' piętro   parter  (z 1)  ']", Nr oferty w Otodom: 46912918 Liczba wyświetleń strony: 2708 Data dodania: ponad 14 dni temu Data aktualizacji: 29.03.2017 ,['Kraków'],"['  rynek:  pierwotny ', '  rodzaj zabudowy:  dom wolnostojący ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  ogrzewanie:  gazowe ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ', '  forma własności:  pełna własność ']"
"(['50.06695620'], ['19.97139720'])","[' balkon ', '  piwnica ', '  winda ', '  oddzielna kuchnia ']","[' cena   399 000 zł   6 234,38 zł/m² ', ' powierzchnia   64 m²   ', ' liczba pokoi   3   ', ' piętro   2  (z 5)  ']", Nr oferty w Otodom: 47582696 Nr oferty w biurze nieruchomości: 850/4879/OMS Liczba wyświetleń strony: 319 Data dodania: 17.03.2017 Data aktualizacji: 23.03.2017 ,"['Kraków, Śródmieście, Mogilska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1991  ', '  stan wykończenia:  do remontu ', '  forma własności:  pełna własność ']"
"(['50.02072260'], ['19.90167100'])","[' internet ', ' domofon / wideofon ', ' balkon ', '  piwnica ']","[' cena   305 000 zł   6 354,17 zł/m² ', ' powierzchnia   48 m²   ', ' liczba pokoi   2   ', ' piętro   3  (z 3)  ']", Nr oferty w Otodom: 47049352 Nr oferty w biurze nieruchomości: 829226 Liczba wyświetleń strony: 539 Data dodania: ponad 14 dni temu Data aktualizacji: 26.03.2017 ,"['Kraków, Dębniki, Raciborska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  inne ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2003  ', '  czynsz:  310 zł ', '  forma własności:  pełna własność ']"
"(['50.07251720'], ['19.91807830'])",[' balkon '],"[' cena   671 000 zł   6 212,96 zł/m² ', ' powierzchnia   108 m²   ', ' liczba pokoi   4   ', ' piętro   4  (z 4)  ']", Nr oferty w Otodom: 47725776 Nr oferty w biurze nieruchomości: MS-19929 Liczba wyświetleń strony: 21 Data dodania: 29.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Krowodrza, Królewska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  czynsz:  500 zł ', '  forma własności:  pełna własność ']"
"(['50.08022390'], ['19.89497400'])","[' balkon ', '  garaż/miejsce parkingowe ', '  winda ']","[' cena   450 000 zł   7 894,74 zł/m² ', ' powierzchnia   57 m²   ', ' liczba pokoi   2   ', ' piętro   2  (z 10)  ']", Nr oferty w Otodom: 47725780 Nr oferty w biurze nieruchomości: MS-19984 Liczba wyświetleń strony: 15 Data dodania: 29.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Bronowice, Stańczyka']","['  rynek:  wtórny ', '  ogrzewanie:  miejskie ', '  rok budowy:  2009  ', '  czynsz:  400 zł ']"
"(['50.07101130'], ['19.89763420'])","[' balkon ', '  garaż/miejsce parkingowe ']","[' cena   430 000 zł   8 431,37 zł/m² ', ' powierzchnia   51 m²   ', ' liczba pokoi   3   ', ' piętro   4  (z 4)  ']", Nr oferty w Otodom: 47725778 Nr oferty w biurze nieruchomości: MS-19932 Liczba wyświetleń strony: 14 Data dodania: 29.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Bronowice, Lea']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  1993  ', '  czynsz:  580 zł ', '  forma własności:  spółdzielcze własnościowe ']"
